ds,layer,dataset,method,k,acc,std,f1,n
0,L11,Asm Succ/Fail,PCA,100,0.9266666666666667,0.011331154474650622,0.8788195230709773,450
0,L11,Asm Succ/Fail,Random,5,0.8004444444444443,0.007356864603220819,,450
0,L11,Asm Succ/Fail,Random,10,0.8084444444444443,0.014222222222222185,,450
0,L11,Asm Succ/Fail,Random,20,0.8311111111111111,0.004444444444444506,,450
0,L11,Asm Succ/Fail,Random,50,0.8782222222222222,0.012041081941461374,,450
0,L11,Asm Succ/Fail,Random,100,0.9035555555555556,0.007383665655927216,,450
0,L11,Asm Succ/Fail,Conceptor,5,0.8511111111111112,0.02060804110110157,0.746490528983695,450
0,L11,Asm Succ/Fail,Conceptor,10,0.828888888888889,0.022879178091082225,0.7114996488328528,450
0,L11,Asm Succ/Fail,Conceptor,20,0.8333333333333333,0.018592445034090556,0.7268631135133599,450
0,L11,Asm Succ/Fail,Conceptor,50,0.8977777777777778,0.02036700308869263,0.8393195429233318,450
0,L11,Asm Succ/Fail,Conceptor,100,0.928888888888889,0.008888888888888858,0.8859739584600911,450
0,L11,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.7933333333333333,0.029481109247603533,,450
0,L11,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8,0.028974232912011778,,450
0,L17,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
0,L17,Task ID (4-way),PCA,5,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),PCA,10,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),PCA,20,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
0,L17,Task ID (4-way),Random,5,0.9524050632911394,0.023052652933622124,,1185
0,L17,Task ID (4-way),Random,10,0.9944303797468355,0.0037965305921357235,,1185
0,L17,Task ID (4-way),Random,20,1.0,0.0,,1185
0,L17,Task ID (4-way),Random,50,1.0,0.0,,1185
0,L17,Task ID (4-way),Random,100,1.0,0.0,,1185
0,L17,Task ID (4-way),Conceptor,5,1.0,0.0,1.0,1185
